 Energia (KeV)            Area (m^2) 
       4.67850      6.35620
       4.69351      6.35008
       4.70857      6.34282
       4.72368      6.33468
       4.73884      6.32835
       4.75404      6.32190
       4.76930      6.31433
       4.78461      6.30776
       4.79996      6.30186
       4.81536      6.29204
       4.83081      6.28361
       4.84632      6.27749
       4.86187      6.26857
       4.87747      6.25908
       4.89312      6.25111
       4.90882      6.24347
       4.92458      6.23611
       4.94038      6.22804
       4.95623      6.21929
       4.97214      6.20944
       4.98809      6.20022
       5.00410      6.19155
       5.02016      6.18399
       5.03627      6.17236
       5.05243      6.15949
       5.06864      6.14978
       5.08491      6.14127
       5.10122      6.13353
       5.11759      6.12490
       5.13401      6.11601
       5.15049      6.10701
       5.16702      6.10124
       5.18360      6.09394
       5.20023      6.08515
       5.21692      6.07613
       5.23366      6.06646
       5.25046      6.05559
       5.26730      6.02401
       5.28421      6.00913
       5.30116      6.00851
       5.31817      6.00717
       5.33524      6.00338
       5.35236      5.99762
       5.36954      5.98971
       5.38677      5.98237
       5.40405      5.97485
       5.42139      5.96576
       5.43879      5.95794
       5.45624      5.94950
       5.47375      5.93922
       5.49132      5.93037
       5.50894      5.92205
       5.52662      5.91410
       5.54435      5.90535
       5.56214      5.89529
       5.57999      5.88577
       5.59790      5.87927
       5.61586      5.86660
       5.63388      5.85592
       5.65196      5.84783
       5.67010      5.83696
       5.68829      5.82719
       5.70655      5.81812
       5.72486      5.80951
       5.74323      5.79798
       5.76166      5.78725
       5.78015      5.77652
       5.79870      5.76448
       5.81731      5.75479
       5.83597      5.74246
       5.85470      5.73064
       5.87349      5.72653
       5.89234      5.71883
       5.91125      5.71552
       5.93021      5.70552
       5.94924      5.66858
       5.96833      5.65561
       5.98749      5.65136
       6.00670      5.64838
       6.02597      5.63967
       6.04531      5.63103
       6.06471      5.62245
       6.08417      5.61393
       6.10370      5.60484
       6.12328      5.59456
       6.14293      5.58432
       6.16265      5.57409
       6.18242      5.56391
       6.20226      5.55350
       6.22216      5.54256
       6.24213      5.53162
       6.26216      5.52070
       6.28226      5.50980
       6.30242      5.49875
       6.32264      5.48736
       6.34293      5.47596
       6.36328      5.46457
       6.38370      5.45318
       6.40419      5.44164
       6.42474      5.42980
       6.44535      5.41793
       6.46604      5.40604
       6.48679      5.39411
       6.50760      5.38204
       6.52849      5.36957
       6.54944      5.35707
       6.57045      5.34452
       6.59154      5.33189
       6.61269      5.31909
       6.63391      5.30595
       6.65520      5.29272
       6.67655      5.27939
       6.69798      5.26595
       6.71947      5.25229
       6.74103      5.23824
       6.76267      5.22404
       6.78437      5.20970
       6.80614      5.19519
       6.82798      5.18042
       6.84989      5.16528
       6.87187      5.14993
       6.89392      5.13437
       6.91605      5.11857
       6.93824      5.10248
       6.96050      5.08596
       6.98284      5.06918
       7.00524      5.05213
       7.02772      5.03477
       7.05028      5.01708
       7.07290      4.99903
       7.09560      4.98066
       7.11837      4.96196
       7.14121      4.94293
       7.16413      4.92355
       7.18712      4.90379
       7.21018      4.88371
       7.23331      4.86329
       7.25653      4.84252
       7.27981      4.82144
       7.30317      4.80007
       7.32661      4.77839
       7.35012      4.75639
       7.37371      4.73408
       7.39737      4.71151
       7.42111      4.68876
       7.44492      4.66574
       7.46881      4.64245
       7.49278      4.61891
       7.51682      4.59515
       7.54094      4.57137
       7.56514      4.54734
       7.58942      4.52307
       7.61377      4.49860
       7.63821      4.47396
       7.66272      4.44934
       7.68731      4.42452
       7.71197      4.39949
       7.73672      4.37425
       7.76155      4.34888
       7.78645      4.32363
       7.81144      4.29816
       7.83651      4.27250
       7.86165      4.24665
       7.88688      4.22068
       7.91219      4.19484
       7.93758      4.16882
       7.96305      4.14261
       7.98861      4.11620
       8.01424      4.08969
       8.03996      4.06337
       8.06576      4.03686
       8.09164      4.01017
       8.11761      3.98329
       8.14365      3.95635
       8.16979      3.92964
       8.19600      3.90276
       8.22231      3.87572
       8.24869      3.84854
       8.27516      3.82131
       8.30172      3.79440
       8.32836      3.76737
       8.35508      3.74023
       8.38189      3.71296
       8.40879      3.68569
       8.43577      3.65880
       8.46284      3.63183
       8.49000      3.60478
       8.51724      3.57765
       8.54458      3.55054
       8.57200      3.52388
       8.59950      3.49716
       8.62710      3.47037
       8.65478      3.44355
       8.68256      3.41678
       8.71042      3.39049
       8.73837      3.36416
       8.76641      3.33780
       8.79454      3.31140
       8.82276      3.28509
       8.85107      3.25926
       8.87948      3.23341
       8.90797      3.20755
       8.93656      3.18168
       8.96523      3.15588
       8.99400      3.13061
       9.02287      3.10534
       9.05182      3.08005
       9.08086      3.05477
       9.11000      3.02957
       9.13924      3.00491
       9.16857      2.98024
       9.19799      2.95559
       9.22750      2.93093
       9.25712      2.90637
       9.28682      2.88236
       9.31662      2.85836
       9.34652      2.83436
       9.37651      2.81039
       9.40660      2.78650
       9.43678      2.76317
       9.46707      2.73984
       9.49745      2.71655
       9.52792      2.69328
       9.55850      2.67010
       9.58917      2.64748
       9.61994      2.62489
       9.65081      2.60232
       9.68178      2.57980
       9.71285      2.55738
       9.74402      2.53548
       9.77528      2.51365
       9.80665      2.49186
       9.83812      2.47011
       9.86969      2.44848
       9.90137      2.42738
       9.93314      2.40636
       9.96501      2.38540
       9.99699      2.36451
       10.0291      2.34373
       10.0613      2.32348
       10.0935      2.30338
       10.1259      2.28332
       10.1584      2.26336
       10.1910      2.24355
       10.2237      2.22429
       10.2565      2.20514
       10.2894      2.18614
       10.3225      2.16724
       10.3556      2.14859
       10.3888      2.13046
       10.4222      2.11247
       10.4556      2.09474
       10.4892      2.07717
       10.5228      2.05994
       10.5566      2.04319
       10.5905      2.02674
       10.6244      2.01062
       10.6585      1.99478
       10.6927      1.97931
       10.7270      1.96438
       10.7615      1.94977
       10.7960      1.93558
       10.8306      1.92177
       10.8654      1.90828
       10.9003      1.89518
       10.9353      1.88237
       10.9703      1.86986
       11.0055      1.85753
       11.0409      1.84534
       11.0763      1.83318
       11.1118      1.82107
       11.1475      1.80890
       11.1833      1.79669
       11.2192      1.78433
       11.2552      1.77140
       11.2913      1.75820
       11.3275      1.74467
       11.3638      1.73075
       11.4003      1.71632
       11.4369      1.70024
       11.4736      1.68355
       11.5104      1.66620
       11.5474      1.64812
       11.5844      1.62937
       11.6216      1.60555
       11.6589      1.58095
       11.6963      1.55566
       11.7338      1.52977
       11.7715      1.50160
       11.8092      1.34333
       11.8471      1.18150
       11.8852      1.01973
       11.9186     0.880446
       11.9188     0.879621
       11.9233     0.516628
       11.9616     0.830844
       12.0000     0.844090
       12.0385     0.857501
       12.0771     0.871079
       12.1158     0.884824
       12.1547     0.898774
       12.1937     0.897973
       12.2329     0.897113
       12.2721     0.896276
       12.3115     0.895460
       12.3510     0.894666
       12.3906     0.890628
       12.4304     0.886536
       12.4703     0.882442
       12.5103     0.878349
       12.5504     0.874256
       12.5907     0.868585
       12.6311     0.862873
       12.6717     0.857141
       12.7123     0.851416
       12.7531     0.845672
       12.7940     0.838936
       12.8351     0.832148
       12.8763     0.825353
       12.9176     0.818549
       12.9590     0.811741
       13.0006     0.804109
       13.0424     0.796423
       14.0397     0.682254
       15.0000     0.600000
       16.0000     0.570454
       17.0000     0.541361
       18.0000     0.512047
       19.0000     0.481833
       20.0000     0.450000
